County_Code,Year,total_chunks,sample_reliable,keyword_passed,scored,equipment_sum,equipment_index,environment_sum,environment_index,ecommerce_sum,ecommerce_index,brandquality_sum,brandquality_index,cluster_sum,cluster_index,finance_sum,finance_index,education_sum,education_index,L1_equipment_sum,L2_equipment_sum,L1_equipment_index,L2_equipment_index,L1_environment_sum,L2_environment_sum,L1_environment_index,L2_environment_index,L1_ecommerce_sum,L2_ecommerce_sum,L1_ecommerce_index,L2_ecommerce_index,L1_brandquality_sum,L2_brandquality_sum,L1_brandquality_index,L2_brandquality_index,L1_cluster_sum,L2_cluster_sum,L1_cluster_index,L2_cluster_index,L1_finance_sum,L2_finance_sum,L1_finance_index,L2_finance_index,L1_education_sum,L2_education_sum,L1_education_index,L2_education_index,policy_intensity_total,policy_intensity_concentration,policy_intensity_production,policy_intensity_market,policy_mix_equipment_env,policy_mix_production_market
130000,2025,30,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
130000,2026,9,0,1,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
130600,2000,8,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,0.0,0.0
130600,2001,8,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0.0,0,0,0.0,0.0
130600,2002,8,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
130600,2003,8,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
130600,2004,8,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
130600,2005,8,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
130600,2006,26,1,2,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
130600,2007,25,1,2,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.54,0.0,0,0.0,0,0,0.0,0.0
