County_Code,Year,total_chunks,sample_reliable,keyword_passed,filter_passed,scored,equipment_index,environment_index,ecommerce_index,brandquality_index,cluster_index,finance_index,education_index,L1_equipment_index,L2_equipment_index,L1_environment_index,L2_environment_index,L1_ecommerce_index,L2_ecommerce_index,L1_brandquality_index,L2_brandquality_index,L1_cluster_index,L2_cluster_index,L1_finance_index,L2_finance_index,L1_education_index,L2_education_index,policy_intensity_total,policy_intensity_production,policy_intensity_market,policy_mix_equipment_env,policy_mix_production_market
130600,2018,36,1,8,7,7,0.0,19.44,0.0,0.0,8.33,11.11,2.78,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,28.57,0.0,0.0,3.3867603338643857
130600,2019,12,1,2,2,2,0.0,33.33,0.0,0.0,0.0,16.67,8.33,0.0,0.0,19.44,28.57,0.0,0.0,0.0,0.0,8.33,0.0,11.11,0.0,2.78,0.0,38.88,27.770000000000003,11.11,0.0,0.8653016199984559
130600,2020,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,19.44,0.0,0.0,0.0,0.0,0.0,8.33,16.67,11.11,8.33,2.78,50.0,33.33,16.67,0.0,0.6641513211379956
130600,2021,115,1,38,29,29,2.61,12.17,9.57,2.61,17.39,6.96,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,8.33,0.0,0.0,0.0,0.0,0.0
130600,2022,103,1,23,17,17,0.0,0.0,0.0,0.97,6.8,5.83,1.94,2.61,0.0,12.17,0.0,9.57,0.0,2.61,0.0,17.39,0.0,6.96,0.0,0.0,0.0,51.31,32.17,19.14,0.317637,0.4989379656685449
130600,2023,77,1,22,15,15,3.9,3.9,0.0,2.6,18.18,2.6,1.3,0.0,2.61,0.0,12.17,0.0,9.57,0.97,2.61,6.8,17.39,5.83,6.96,1.94,0.0,13.6,6.8,6.8,0.0,0.0
130600,2024,33,1,14,13,13,0.0,0.0,9.09,12.12,21.21,3.03,3.03,3.9,0.0,3.9,0.0,0.0,0.0,2.6,0.97,18.18,6.8,2.6,5.83,1.3,1.94,31.180000000000003,25.98,5.2,0.15209999999999999,1.470546558728564
130600,2025,87,1,18,15,15,0.0,3.45,11.49,1.15,5.75,5.75,1.15,0.0,3.9,0.0,3.9,9.09,0.0,12.12,2.6,21.21,18.18,3.03,2.6,3.03,1.3,45.45,21.21,24.240000000000002,0.0,-0.12788739976667637
130600,2026,48,1,13,9,9,0.0,0.0,14.58,14.58,10.42,2.08,0.0,0.0,0.0,3.45,0.0,11.49,9.09,1.15,12.12,5.75,21.21,5.75,3.03,1.15,3.03,27.589999999999996,9.2,18.39,0.0,-0.6423697489643351
130628,2000,3,0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
130628,2001,3,0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
