year,province,county,above_scale_ind_firms,above_scale_industry_output,agri_employment,agri_labor,agri_machinery_power,agriculture_va,animal_husbandry_va,area_km2,capital_construction_invest,cotton_output,crop_sowing_area,deposit_balance,facility_agri_area,facility_agri_plant_area,fertilizer_usage,fiscal_expenditure,fiscal_revenue_per_capita,fixed_asset_invest,fixed_asset_invest_ex_household,fixed_phone,gdp,grain_output,grain_per_capita,grain_sowing_area,hospital_beds,hospital_beds_per_10k,loan_balance,local_fiscal_expenditure,local_fiscal_revenue,local_phone,meat_output,mechanical_harvest_area,middle_school_students,oilseed_output,plastic_film_usage,primary_industry_va,primary_school_students,public_fiscal_expenditure,public_fiscal_revenue,registered_pop,rural_electricity,rural_employment,rural_households,rural_labor,rural_pop,secondary_employment,secondary_industry_va,students_per_teacher,subdistrict_count,tax_revenue,tertiary_employment,tertiary_industry_va,total_households,total_pop,total_students,town_count,township_count,urban_fixed_invest,village_committee_count,voc_edu_students,welfare_beds,welfare_institutions
2000,山东省,平阴县,,,,10.1,15.7,,,,,,49850.0,27252.0,,,11691.0,4032.0,118.2,,,,,205350.0,546.1,42970.0,,9.5,50000.0,,4445.0,,19273.0,,,,26.0,,,,,,,,,15.3,33.0,,,,,,,,,37.6,,,12.0,,375.0,,,
2000,山东省,济阳县,,,,21.3,20.4,,,,,,101635.0,20420.0,,,24939.0,1879.0,37.8,,,,,319006.0,615.8,64436.0,,6.5,49737.0,,1957.0,,14824.0,,,,466.0,,,,,,,,,24.0,48.7,,,,,,,,,51.8,,,20.0,,847.0,,,
2000,山东省,长清县,,,,14.3,22.2,,,,,,65465.0,45163.0,,,12710.0,4099.0,81.5,,,,,260851.0,506.5,55069.0,,7.6,48602.0,,4196.0,,19222.0,,,,29.0,,,,,,,,,21.5,46.5,,,,,,,,,51.5,,,11.0,,614.0,,,
2000,山西省,古交市,,,,2.0,6.3,,,,,,16460.0,27091.0,,,1121.0,4032.0,248.3,,,,,21998.0,135.0,13060.0,,12.5,32374.0,,4047.0,,1946.0,,,,92.0,,,,,,,,,3.6,9.5,,,,,,,,,16.3,,,15.0,,204.0,,,
2000,山西省,娄烦县,,,,2.6,3.4,,,,,,17680.0,5212.0,,,952.0,816.0,97.3,,,,,26725.0,275.5,14160.0,,11.3,10601.0,,944.0,,990.0,,,,91.0,,,,,,,,,3.9,8.8,,,,,,,,,9.7,,,12.0,,213.0,,,
2000,山西省,清徐县,,,,6.8,19.9,,,,,,33250.0,49831.0,,,8309.0,4148.0,159.0,,,,,97960.0,365.5,25220.0,,10.6,61001.0,,4261.0,,8044.0,,,,259.0,,,,,,,,,10.1,24.4,,,,,,,,,26.8,,,13.0,,195.0,,,
2000,山西省,阳曲县,,,,3.6,8.3,,,,,,34890.0,14089.0,,,1601.0,1216.0,84.3,,,,,40548.0,296.0,26310.0,,13.6,19853.0,,1155.0,,2203.0,,,,216.0,,,,,,,,,5.1,12.6,,,,,,,,,13.7,,,15.0,,244.0,,,
2000,广东省,古丈县,,,,5.5,2.7,,,,,,18860.0,5900.0,,,1275.0,649.0,64.9,,,,,34300.0,278.9,10740.0,,15.3,3204.0,,798.0,,2407.0,,,,25.0,,,,,,,,,6.0,12.3,,,,,,,,,12.3,,,15.0,,201.0,,,
2000,广东省,永顺县,,,,18.6,5.7,,,,,,71580.0,175834.0,,,6776.0,4514.0,107.0,,,,,161037.0,362.7,49990.0,,12.8,207337.0,,4753.0,,9824.0,,,,107.0,,,,,,,,,20.0,41.2,,,,,,,,,44.4,,,47.0,,537.0,,,
2000,广东省,番禺市,,,,19.0,37.5,,,,,,85800.0,450957.0,,,51987.0,30403.0,386.3,,,,,264486.0,329.8,44020.0,,10.2,631487.0,,30982.0,,7146.0,,,,210.0,,,,,,,,,39.2,69.9,,,,,,,,,80.2,,,21.0,,303.0,,,
